title,release_year,release_date,genres,runtime,overview,director,writers,main_actors,budget,revenue,keywords,production_company,popularity,adult
The Man from Nowhere,2010,2010-08-04,"['Action', 'Thriller', 'Crime']",119,An ex-special agent is involved in a convoluted drug ring drama. He has to save a drug smuggler's innocent daughter from being the victim of her parents' fight.,Lee Jeong-beom,Lee Jeong-beom,"Won Bin, Kim Sae-ron, Kim Tae-hun",1255000,43059790,"friendship, martial arts, assassin, hero, hitman, child labour, human trafficking, protection, revenge, tragic hero, disappearance, drugs, detached, neo-noir, organ harvest, sentimental, ambiguous, earnest, straightforward",Opus Pictures,5.5789,False
Robin Hood,2010,2010-05-12,"['Action', 'Adventure', 'History']",140,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",Ridley Scott,Brian Helgeland,"Russell Crowe, Cate Blanchett, Max von Sydow",200000000,321669741,"robin hood, archer, sherwood forest, knight, historical fiction, bow and arrow, middle ages (476-1453), medieval, king of england, 12th century, whimsical, appreciative, vibrant",Imagine Entertainment,5.8319,False
I Saw the Devil,2010,2010-08-12,"['Thriller', 'Horror']",144,"Kyung-chul is a dangerous psychopath who kills for pleasure. Soo-hyeon, a top-secret agent, decides to track down the murderer himself. He promises himself that he will do everything in his power to take vengeance against the killer, even if it means that he must become a monster himself.",Kim Jee-woon,"Park Hoon-jung, Kim Jee-woon","Lee Byung-hun, Choi Min-sik, Jeon Kuk-hwan",6000000,12966357,"psychopath, cemetery, police chief, secret agent, revenge, murder, serial killer, mercilessness, severed head, brutality, cannibal, tracking device, south korea, sadistic killer",Softbank Ventures,5.1985,False
Saw 3D,2010,2010-10-22,"['Horror', 'Crime']",90,"As a deadly battle rages over Jigsaw's brutal legacy, a group of Jigsaw survivors gathers to seek the support of self-help guru and fellow survivor Bobby Dagen, a man whose own dark secrets unleash a new wave of terror.",Kevin Greutert,"Marcus Dunstan, Patrick Melton","Tobin Bell, Costas Mandylor, Betsy Russell",20000000,136151680,"sadism, torture, self help guru, tricycle, prosthetic arm, pig mask, survival horror, death match, mind game, frantic, death game",Lionsgate,5.3336,False
Unstoppable,2010,2010-11-04,"['Action', 'Thriller']",98,"When a massive, unmanned locomotive roars out of control, the threat is more ominous than just a derailment. The train is laden with toxic chemicals, and an accident would decimate human life and cause an environmental disaster. The only hope of bringing the train to a safe stop is in the hands of veteran engineer Frank Barnes, and young conductor Will Colson, who must risk their lives to save those in the runaway's path. Inspired by true events.",Tony Scott,Mark Bomback,"Denzel Washington, Chris Pine, Rosario Dawson",100000000,167805466,"pennsylvania, usa, locomotive, evacuation, train, train conductor, runaway train, railyard, family issues, national news, railroad crossing, collision course, train engineer, emergency stop, life or death, high octane, inspired by true story, toxic chemicals, hazardous material, train yard, train yardmaster, full throttle",20th Century Fox,5.1212,False
Due Date,2010,2010-11-03,"['Comedy', 'Drama']",95,"Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the 'no-fly' list. Peter embarks on a terrifying journey when he accepts a ride from an actor.",Todd Phillips,"Alan Freedland, Adam Sztykiel, Alan R. Cohen, Todd Phillips","Robert Downey Jr., Zach Galifianakis, Michelle Monaghan",65000000,211800000,"highway, slacker, hitchhiker, wallet, sunglasses, rest stop, vicodin, waffle",Legendary Pictures,4.92,False
True Grit,2010,2010-12-22,"['Drama', 'Adventure', 'Western']",110,"Following the murder of her father by a hired hand, a 14-year-old farm girl sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find—a man with 'true grit'—Reuben J. 'Rooster' Cogburn.","Joel Coen, Ethan Coen","Ethan Coen, Joel Coen","Jeff Bridges, Hailee Steinfeld, Matt Damon",38000000,252300000,"bounty hunter, based on novel or book, father murder, loss of loved one, texas ranger, arkansas, alcoholism, betrayal, eye patch",Paramount Pictures,4.9145,False
The A-Team,2010,2010-06-09,"['Action', 'Comedy', 'Crime']",117,"A man who loves when a plan comes together, Col. Hannibal Smith leads a close-knit team of elite operatives and Iraq War veterans. Framed for a crime they didn't commit, Smith and his men, Capt. H.M. ‘Howling Mad’ Murdock , Sgt. Bosco ‘B.A.’ Baracus, and Lt. Templeton ‘Faceman’ Peck, break out and go rogue, using their special talents to clear their names and find the perpetrator. Hot on their trail is Capt. Charissa Sosa, who was once involved with a member of Smith's team and has sworn to capture them, no matter what it takes.",Joe Carnahan,"Skip Woods, Joe Carnahan, Brian Bloom","Liam Neeson, Bradley Cooper, Jessica Biel",110000000,177238796,"plan, mexico, explosive, war crimes, secret mission, fear of flying, ex-lover, tank, military court, us army, military service, iraq war veteran, military prison, betrayal, fugitive, double crossed, drone, special forces, operative, aftercreditsstinger, duringcreditsstinger, clandestine, military operation, helicopter chase, u.s. general, private military company, based on tv series, airborne ranger, awestruck, u.s. army ranger, cia agent, military contractors, money printing plates, u.s. army hospital, u.s. military intelligence, frankfurt, germany, baghdad, iraq, engraving plates",Phoenix Film Partners,4.9724,False
127 Hours,2010,2010-11-12,"['Adventure', 'Drama', 'Thriller']",94,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,Danny Boyle,"Danny Boyle, Simon Beaufoy","James Franco, Kate Mara, Amber Tamblyn",18000000,35700000,"canyon, based on novel or book, utah, photography, despair, hiking, biography, engineer, based on true story, alone, mountain biking, struggle for survival, trapped, boulder, cavern, video recorder, adventurer, rock climbing, isolated, hikers, memories, hallucinations, desperation, chance encounter",Fox Searchlight Pictures,4.9187,False
The Extraordinary Adventures of Adèle Blanc-Sec,2010,2010-04-09,"['Fantasy', 'Adventure', 'Action', 'Mystery']",105,"An adventure set in the early part of the 20th century, focused on a popular novelist and her dealings with would-be suitors, the cops, monsters, and other distractions.",Luc Besson,"Jacques Tardi, Luc Besson","Louise Bourgoin, Mathieu Amalric, Gilles Lellouche",25000000,34604339,"monster, paris, france, mummy, louvre museum, based on comic, tomb, egyptology, adventurer, pterodactyl, mummy's curse, runaway mummy",EuropaCorp,4.8827,False
Leap Year,2010,2010-01-08,"['Romance', 'Comedy']",100,"When yet another anniversary passes without a marriage proposal from her boyfriend, Anna decides to take action. Aware of a Celtic tradition that allows women to pop the question on Feb. 29, she plans to follow her lover to Dublin and ask him to marry her. Fate has other plans, however, and Anna winds up on the other side of the Emerald Isle with handsome, but surly, Declan -- an Irishman who may just lead Anna down the road to true love.",Anand Tucker,"Deborah Kaplan, Harry Elfont","Amy Adams, Matthew Goode, Adam Scott",19000000,32686500,"marriage proposal, boston, massachusetts, dublin, ireland, road trip, relationship, cardiologist, ireland, opposites attract, leap year, expectations, comedy of errors, irish culture, irish pub, impromptu proposal, cynical man, uptight woman, irish tradition, pub owner, expensive taste",Birnbaum/Barber Productions,4.8618,False
Nanny McPhee and the Big Bang,2010,2010-03-26,"['Comedy', 'Fantasy', 'Family']",109,"Nanny McPhee appears at the door of a harried young mother who is trying to run the family farm while her husband is away at war. But once she’s arrived, Nanny discovers that the children are fighting a war of their own against two spoiled city cousins who have just moved in. Relying on everything from a flying motorcycle and a statue that comes to life to a tree-climbing piglet and a baby elephant, Nanny uses her magic to teach her mischievous charges five new lessons.",Susanna White,Emma Thompson,"Emma Thompson, Asa Butterfield, Ralph Fiennes",35000000,93251121,"nanny, nostalgic, aftercreditsstinger, duringcreditsstinger, woman director, based on young adult novel",Three Strange Angels,4.8682,False
The Last Airbender,2010,2010-06-30,"['Action', 'Adventure', 'Fantasy']",103,"The story follows the adventures of Aang, a young successor to a long line of Avatars, who must put his childhood ways aside and stop the Fire Nation from enslaving the Water, Earth and Air nations.",M. Night Shyamalan,M. Night Shyamalan,"Noah Ringer, Dev Patel, Nicola Peltz Beckham",150000000,319713881,"fire, kingdom, war ship, village, prince, arrest, based on cartoon, attack, air, spirit, domination, cheering, burlesque, disapproving, disdainful, forceful",Paramount Pictures,4.7401,False
The Wolfman,2010,2010-02-10,"['Horror', 'Thriller']",103,"Lawrence Talbot, an American man on a visit to Victorian London to make amends with his estranged father, gets bitten by a werewolf and, after a moonlight transformation, leaves him with a savage hunger for flesh.",Joe Johnston,"Andrew Kevin Walker, David Self","Benicio del Toro, Anthony Hopkins, Emily Blunt",150000000,140700000,"parent child relationship, victorian england, remake, wolfman, rural area, curse, werewolf, gothic horror, flesh",Universal Pictures,4.6851,False
The Tourist,2010,2010-12-08,"['Action', 'Thriller', 'Romance']",103,"American tourist Frank meets mysterious British woman Elise on the train to Venice. Romance seems to bud, but there's more to her than meets the eye.",Florian Henckel von Donnersmarck,"Julian Fellowes, Christopher McQuarrie, Florian Henckel von Donnersmarck","Johnny Depp, Angelina Jolie, Paul Bettany",100000000,278731369,"hotel, paris, france, undercover agent, venice, italy, fake identity, boat chase",Spyglass Entertainment,4.6759,False
Piranha 3D,2010,2010-08-20,"['Comedy', 'Horror']",88,"Each year the population of sleepy Lake Victoria, Arizona explodes from 5,000 to 50,000 residents for the annual Spring Break celebration. But then, an earthquake opens an underwater chasm, releasing an enormous swarm of ancient Piranha that have been dormant for thousands of years, now with a taste for human flesh. This year, there's something more to worry about than the usual hangovers and complaints from locals, a new type of terror is about to be cut loose on Lake Victoria.",Alexandre Aja,Josh Stolberg,"Elisabeth Shue, Jerry O'Connell, Steven R. McQueen",24000000,83188165,"yacht, grave, film in film, scuba diving, creature, piranha, spring break, man eating monster, aftercreditsstinger, ghoulish",Atmosphere Entertainment MM,4.5877,False
